Ticker,Market Cap,P/E,Fwd P/E,PEG,P/B,P/FCF,EPS,EPS next Y,EPS next 5Y,Sales past 5Y,ROA,Curr R,Quick R,Debt/Eq,Oper M,Perf Year,Beta,Recom
PIP,216.91M,1.86,-,-,1.55,1.86,1.75,-,-,-12.70%,221.80%,37.00,37.00,0.00,-,71.05%,2.41,2.00
BSTC,391.57M,36.50,32.20,1.66,7.39,20.50,1.53,11.61%,22.00%,32.10%,19.90%,21.50,21.50,0.00,64.60%,29.63%,1.38,2.00
TSE,2.68B,10.09,8.36,0.43,6.42,7.46,5.88,2.45%,23.40%,-4.40%,12.20%,2.80,2.10,2.81,12.60%,112.94%,-,2.30
DCI,5.60B,26.96,23.94,3.21,7.19,32.49,1.56,9.74%,8.40%,-0.70%,11.70%,1.80,1.30,0.73,13.20%,49.70%,1.00,3.00
GSOL,217.27M,9.54,-,0.95,1.41,-,0.93,-,10.00%,-2.80%,10.10%,1.00,1.00,0.00,16.60%,13.46%,1.37,2.00
IDT,431.43M,10.27,-,-,3.02,91.79,1.81,-,-,2.10%,8.80%,1.00,1.00,0.00,1.60%,66.87%,0.91,3.00
NUS,2.64B,19.44,15.04,2.56,3.13,19.03,2.46,9.55%,7.60%,7.90%,8.60%,2.20,1.60,0.50,10.30%,30.47%,1.64,2.40
SMP,1.21B,20.64,16.08,2.95,2.76,29.00,2.58,15.45%,7.00%,3.70%,7.70%,1.70,0.80,0.16,9.20%,42.27%,1.79,2.00
KAI,673.20M,19.57,17.60,2.45,2.32,43.15,3.13,14.00%,8.00%,7.60%,7.60%,2.20,1.60,0.22,11.70%,53.12%,1.30,1.80
WMT,212.85B,15.01,15.93,10.24,2.75,14.13,4.61,0.49%,1.47%,2.70%,7.20%,0.90,0.20,0.64,4.80%,16.03%,0.11,2.70
SYY,30.58B,30.51,20.46,2.82,10.18,25.45,1.82,10.45%,10.83%,5.10%,6.70%,1.50,1.00,2.60,3.70%,38.76%,0.54,2.60
CW,4.38B,23.62,22.21,3.14,3.39,11.55,4.17,7.84%,7.51%,3.50%,6.30%,2.80,2.00,0.75,14.60%,44.45%,1.29,2.40
ATVI,27.11B,31.37,16.91,1.40,3.04,21.12,1.15,4.61%,22.47%,1.00%,6.20%,1.40,1.40,0.72,24.40%,-5.96%,0.97,1.90
ENS,3.41B,25.02,16.13,1.56,3.17,19.68,3.12,4.49%,16.00%,3.30%,6.20%,3.00,2.20,0.58,8.90%,41.12%,1.70,3.00
ETN,30.54B,15.80,15.32,1.87,1.98,26.86,4.25,4.19%,8.45%,8.70%,6.20%,1.50,1.00,0.55,11.80%,33.82%,1.35,2.60
NANO,630.01M,40.42,21.06,4.04,2.87,21.36,0.62,16.44%,10.00%,-0.10%,6.20%,4.60,3.60,0.00,9.40%,65.52%,1.50,2.30
HI,2.43B,21.70,17.04,1.74,3.84,14.63,1.77,12.11%,12.50%,11.70%,5.80%,1.40,1.00,0.96,12.40%,32.80%,1.25,2.30
ACCO,1.42B,11.70,13.08,1.17,1.93,7.32,1.12,17.41%,10.00%,3.30%,5.80%,2.00,1.30,1.08,10.70%,83.03%,1.56,2.00
MRK,162.78B,29.94,15.27,4.53,3.72,242.60,1.97,1.90%,6.61%,-3.00%,5.60%,1.90,1.60,0.57,19.60%,15.05%,0.77,2.50
CPS,1.82B,14.90,9.49,2.13,2.58,9.60,6.94,5.50%,7.00%,6.70%,5.50%,1.70,1.50,1.11,6.10%,33.24%,0.96,2.50
